Chromosome,total_variants,pathogenic_count,pathogenic_pct
1,377065,38022,10.08
2,370761,55666,15.01
17,252093,39943,15.84
11,247274,29758,12.03
19,240148,20047,8.35
3,229356,24563,10.71
16,218218,28318,12.98
7,205152,22776,11.1
5,204244,23577,11.54
12,191264,20600,10.77
6,188073,21636,11.5
9,186793,21317,11.41
10,156035,15512,9.94
X,151454,30885,20.39
4,149478,13441,8.99
15,147598,18418,12.48
8,141993,15101,10.64
14,134255,12704,9.46
22,91704,9803,10.69
20,89994,7780,8.65
13,83731,19587,23.39
18,70926,7227,10.19
21,46634,5497,11.79
MT,3046,172,5.65
Y,1073,207,19.29
Un,2,0,0.0
